area;method;id;partID;x;y;z;lon;lat;depth;height_probe;soil_classification
7;Løsmasseboring;PZP16-2;;111860.0;1216148.0;72.3;10.712178;59.940092;10.3;62.0;Ukjent
7;Løsmasseboring;PZP17-1;;111935.7;1216229.5;80.7;10.713532;59.940831;28.6;52.1;Ukjent
7;Løsmasseboring;PZP17-2;;111935.7;1216229.5;80.7;10.713532;59.940831;11.0;69.7;Ukjent
6;Løsmasseboring;PZP19-1;;112116.0;1216241.0;82.2;10.716754;59.940935;14.0;68.2;Ukjent
6;Løsmasseboring;PZP19-2;;112116.0;1216241.0;82.2;10.716754;59.940935;5.0;77.2;Ukjent
6;Løsmasseboring;PZP21;;112527.3;1216137.3;91.5;10.724106;59.939995;10.1;81.4;Ukjent
6;Løsmasseboring;PZP22-1;;113051.2;1216063.6;87.3;10.733471;59.939328;10.3;77.0;Ukjent
6;Løsmasseboring;PZP22-2;;113051.2;1216063.6;87.3;10.733471;59.939328;8.7;78.6;Ukjent
5;Løsmasseboring;PZP23-1;;113279.6;1215963.8;75.4;10.737554;59.938424;18.3;57.1;Ukjent
5;Løsmasseboring;PZP23-2;;113279.6;1215963.8;75.4;10.737554;59.938424;9.0;66.4;Ukjent
5;Løsmasseboring;PZP24-1;;113462.4;1215791.4;74.9;10.740821;59.936862;15.1;59.8;Ukjent
5;Løsmasseboring;PZP24-2;;113462.4;1215791.4;74.9;10.740821;59.936862;10.0;64.9;Ukjent
5;Løsmasseboring;PZP25-1;;113490.8;1215999.0;76.4;10.741329;59.938743;27.9;48.5;Ukjent
5;Løsmasseboring;PZP25-2;;113490.8;1215999.0;76.4;10.741329;59.938743;14.0;62.4;Ukjent
5;Løsmasseboring;PZP26-1;;113759.9;1216071.4;76.9;10.746139;59.939398;12.6;64.4;Ukjent
5;Løsmasseboring;PZP26-2;;113759.9;1216071.4;76.9;10.746139;59.939398;8.0;68.9;Ukjent
5;Løsmasseboring;PZP27-1;;113815.7;1216247.1;78.7;10.747137;59.940990;24.8;53.9;Ukjent
5;Løsmasseboring;PZP27-2;;113815.7;1216247.1;78.7;10.747137;59.940990;18.3;60.4;Ukjent
5;Løsmasseboring;PZP28-1;;113997.4;1216007.6;75.0;10.750384;59.938820;20.6;54.4;Ukjent
5;Løsmasseboring;PZP28-2;;113997.4;1216007.6;75.0;10.750384;59.938820;10.5;64.5;Ukjent
5;Løsmasseboring;PZP29;;114107.0;1215907.0;72.9;10.752344;59.937909;7.3;65.6;Ukjent
5;Løsmasseboring;PZP30-1;;114127.6;1215615.6;63.9;10.752712;59.935269;20.9;43.0;Ukjent
5;Løsmasseboring;PZP30-2;;114127.6;1215615.6;63.9;10.752712;59.935269;10.5;53.4;Ukjent
5;Løsmasseboring;PZP31;;114199.0;1215781.0;69.9;10.753988;59.936768;8.3;61.6;Ukjent
5;Løsmasseboring;PZP32-1;;114321.2;1215369.1;54.2;10.756173;59.933036;26.7;27.5;Ukjent
5;Løsmasseboring;PZP32-2;;114321.2;1215369.1;54.2;10.756173;59.933036;17.5;36.7;Ukjent
5;Løsmasseboring;PZP33-1;;114380.0;1215830.0;70.7;10.757224;59.937211;27.3;43.4;Ukjent
5;Løsmasseboring;PZP33-2;;114380.0;1215830.0;70.7;10.757224;59.937211;19.0;51.7;Ukjent
5;Løsmasseboring;PZP34-1;;114496.2;1215245.3;55.5;10.759301;59.931915;27.0;28.5;Ukjent
5;Løsmasseboring;PZP34-2;;114496.2;1215245.3;55.5;10.759301;59.931915;20.5;35.0;Ukjent
5;Løsmasseboring;PZP35-1;;114295.0;1215470.0;55.0;10.755704;59.933950;19.2;35.8;Ukjent
5;Løsmasseboring;PZP35-2;;114295.0;1215470.0;55.0;10.755704;59.933950;15.5;39.5;Ukjent
7;Løsmasseboring;PZP38;;109689.6;1216176.6;88.1;10.673382;59.940351;4.2;83.9;Ukjent
7;Løsmasseboring;PZP40;;111074.8;1216128.4;81.1;10.698143;59.939915;8.7;72.4;Ukjent
7;Løsmasseboring;PZP9;;109631.6;1216134.0;94.6;10.672346;59.939965;2.6;92.0;Ukjent
2;Løsmasseboring;Sonic 02-1;10202;119567.5;1214682.8;94.9;10.849950;59.926819;6.0;88.9;Berg
2;Løsmasseboring;Sonic 02-2;10215;119567.5;1214682.8;94.9;10.849950;59.926819;21.0;73.9;Berg
2;Løsmasseboring;Sonic 02-3;10214;119567.5;1214682.8;94.9;10.849950;59.926819;38.0;56.9;Berg
2;Løsmasseboring;Sonic 02-4;10213;119567.5;1214682.8;94.9;10.849950;59.926819;44.0;50.9;Berg
2;Løsmasseboring;Sonic 02-5;10212;119567.5;1214682.8;94.9;10.849950;59.926819;53.0;41.9;Berg
2;Løsmasseboring;Sonic 02-6;10211;119567.5;1214682.8;94.9;10.849950;59.926819;66.0;28.9;Berg
;;SBR2;;109710.2;1216018.0;;10.673751;59.938915;;;
